% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
15 +5.719515324e+02 +5.719515324e+02 +6.419815324e+02 +6.419815324e+02 +1.8266e-02 +1.7632e+00 -4.8395e+00 -4.8669e+00 +1.6486e+00 -3.9834e+00 -3.7626e-01 +2.3063e+00 -2.0128e+00 +1.2859e+00 +3.3477e+00 +2.8730e+00 +4.6053e+00 -3.4427e+00 -3.8680e+00 -1.4623e+00 -3.3171e+00 -6.1624e-01 -3.1371e+00 +1.1116e+00
605 +3.314902631e+02 +3.314902631e+02 +4.015202631e+02 +4.015202631e+02 -3.9947e-02 +1.0300e+00 -4.4115e+00 -4.2894e+00 +3.9330e+00 -5.0000e+00 -2.8678e+00 +1.3478e+00 -5.0000e+00 +0.0000e+00 +2.0103e+00 +6.8662e-01 +5.0000e+00 -1.0669e+00 -3.2956e+00 -2.9193e+00 -2.4251e+00 +5.0000e+00 -2.3142e+00 +3.2099e+00
1963 +2.462748282e+02 +2.462748282e+02 +3.163048282e+02 +3.163048282e+02 -4.9511e-01 -3.0856e+00 -3.7020e+00 -2.3508e+00 +1.0802e-01 -4.7444e+00 -7.0267e-01 -2.6493e-01 -1.3205e+00 -9.8219e-02 +6.3613e-01 -1.7320e+00 +3.2673e+00 -2.3426e+00 -3.1082e+00 -1.5985e+00 +1.8645e+00 -1.6408e-01 -1.6444e+00 +2.2368e+00
4071 +1.560596406e+02 +1.560596406e+02 +2.260896406e+02 +2.260896406e+02 -8.3624e-01 -2.7608e+00 -4.2609e+00 -2.2476e+00 -1.1883e+00 -2.7153e+00 -8.6265e-01 +1.1269e+00 -2.3550e+00 -5.7188e-01 +5.7152e-02 -2.1905e+00 +3.1247e+00 -3.8711e+00 -2.7226e+00 -2.6235e+00 +1.3670e+00 +5.0000e+00 -2.2684e+00 +5.9431e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.662058356e+03 +2.662058356e+03 +2.613838356e+03 +2.613838356e+03 -4.4012e+00 +9.2718e-01 +2.8404e+00 -3.1793e+00 -2.3788e+00 +3.6331e+00 +4.9608e+00 -1.7445e+00 -2.9735e+00 +4.0272e+00 -4.6581e+00 +4.0929e+00 +8.3340e-01 -2.2626e+00 +1.7925e+00 +2.8133e+00 +4.0807e+00 +2.4704e+00 +1.6376e+00 +1.6648e+00
5 +2.318232973e+03 +2.318232973e+03 +2.270012973e+03 +2.270012973e+03 +4.2372e+00 -1.8943e+00 -1.9013e+00 -1.8207e+00 -1.5714e+00 -1.1951e+00 +2.8589e+00 +2.3830e+00 -1.8808e+00 +1.8635e+00 -4.2997e+00 -2.7419e+00 +1.9261e-01 +2.2727e+00 +2.8276e-01 -2.9780e+00 -8.3498e-01 -3.4824e+00 -2.0316e+00 -2.4489e+00
6 +1.222089505e+03 +1.222089505e+03 +1.173869505e+03 +1.173869505e+03 -4.9384e+00 -8.0222e-01 +2.0858e+00 -1.3971e+00 -4.2808e+00 -2.0554e+00 +2.1275e+00 +2.6680e+00 +9.5644e-01 +2.9690e+00 -4.8432e+00 -4.6397e+00 -2.7148e+00 -1.6258e-02 -4.1194e+00 -2.3078e+00 +2.3752e-01 -4.4447e+00 +1.1252e+00 +6.4458e-01
41 +8.307845119e+02 +8.307845119e+02 +7.825645119e+02 +7.825645119e+02 -4.3213e+00 +4.5608e+00 -9.3095e-01 -2.5295e+00 -1.5637e+00 +3.0609e+00 -2.3062e+00 -3.2889e+00 -3.6835e+00 +4.4387e+00 +4.8161e+00 -3.7010e+00 -2.1976e+00 -1.4558e+00 -1.8226e+00 -4.1000e+00 +1.5711e+00 -2.7526e-01 +1.8802e+00 -2.0572e+00
209 +6.210496885e+02 +6.210496885e+02 +5.728296885e+02 +5.728296885e+02 +1.3267e+00 -2.3149e+00 -1.0508e+00 -7.7845e-01 +7.2647e-01 +5.0000e+00 -3.0747e+00 -4.3594e-01 -8.3036e-01 +2.5717e+00 -3.9842e+00 +2.0641e+00 -3.6782e-01 +5.0000e+00 -2.4694e+00 -3.3086e+00 -3.6013e+00 +2.7041e+00 -1.0566e+00 +1.4677e+00
776 +3.786778120e+02 +3.786778120e+02 +3.304578120e+02 +3.304578120e+02 +9.8563e-01 -2.6106e+00 -3.7676e+00 +1.5722e+00 -1.4685e+00 +1.2040e+00 -2.9908e+00 +0.0000e+00 -1.8327e+00 +1.2844e+00 +1.5077e+00 +3.2650e-01 -6.7831e-01 +1.2512e+00 -3.3507e+00 -1.2351e+00 -8.0908e-01 -1.0590e+00 +2.4123e+00 +0.0000e+00
1233 +2.452475709e+02 +2.452475709e+02 +1.970275709e+02 +1.970275709e+02 +9.2307e-01 -5.5497e-01 -2.1273e+00 +4.6844e-01 -5.0000e+00 +6.8707e-01 -4.9621e+00 +1.0101e-01 -2.2329e+00 +2.3469e+00 +4.9577e-01 -7.6166e-02 -3.9153e-01 +3.0468e+00 -1.6105e+00 -6.6906e-01 -1.7626e+00 -2.2022e+00 +1.6584e+00 +7.3805e-01
2690 +1.511290699e+02 +1.511290699e+02 +1.029090699e+02 +1.029090699e+02 -2.5676e+00 -6.5944e-01 -2.2263e+00 -1.7625e+00 -2.7975e+00 +2.9539e+00 -5.0000e+00 +1.6706e+00 -1.9588e+00 +3.9845e+00 +1.6479e-01 -6.1872e-01 -5.6024e-01 +2.3470e+00 -8.9682e-01 -8.2020e-01 -2.2117e+00 -1.0728e+00 +2.6750e+00 +7.3504e-01
4816 +9.853976281e+01 +9.853976281e+01 +5.031976281e+01 +5.031976281e+01 -2.5237e+00 -6.8128e-01 -2.1935e+00 -1.8160e+00 -3.0106e+00 +3.0156e+00 -5.0000e+00 +1.7750e+00 -1.9887e+00 +4.0060e+00 +2.6128e-01 -6.8020e-01 -7.3313e-01 +2.8266e+00 -6.8277e-01 -8.8582e-01 -2.2165e+00 -9.6715e-01 +2.6243e+00 +7.3047e-01
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.664794901e+03 +2.664794901e+03 +2.690264901e+03 +2.690264901e+03 +3.5131e+00 +2.1865e+00 +4.5464e+00 +9.9045e-01 +1.0567e+00 -1.4308e+00 -3.7180e-01 +1.2317e+00 +3.1539e+00 +7.1797e-01 -1.9000e+00 -2.3035e+00 +2.0667e+00 -9.1091e-01 +3.1279e+00 -6.1261e-01 -6.9288e-01 -4.7097e+00 +2.5304e+00 +4.9585e-01
2 +2.465676501e+03 +2.465676501e+03 +2.491146501e+03 +2.491146501e+03 +3.3010e+00 -4.7372e-01 +2.8594e+00 -1.0361e+00 +1.7854e+00 +1.8545e+00 -2.8087e+00 -1.8214e+00 +3.6930e+00 +2.9300e+00 -1.6029e+00 +2.6126e+00 -2.5930e+00 -4.6229e+00 -3.1801e+00 -5.1499e-01 +1.5310e+00 +1.6589e+00 +2.1661e+00 -5.2560e-01
12 +1.351223418e+03 +1.351223418e+03 +1.376693418e+03 +1.376693418e+03 +5.4838e-01 -4.1075e+00 -9.1945e-01 +3.1968e+00 +3.9947e+00 +4.9378e+00 -3.7723e+00 +4.9306e+00 +7.9340e-01 +4.0466e+00 -4.9004e-01 -6.5083e-01 +4.5121e+00 +1.3918e+00 +1.3013e+00 +3.1745e+00 -2.5316e+00 +2.5459e+00 -4.4717e+00 -4.2426e+00
34 +7.519188960e+02 +7.519188960e+02 +7.773888960e+02 +7.773888960e+02 -4.0678e+00 -3.3838e+00 -2.7647e+00 -1.2163e+00 +8.8263e-01 +3.3103e-01 -2.2104e+00 -3.1992e+00 +1.3284e+00 -1.1216e+00 +2.0898e-01 -6.7145e-01 +4.4944e+00 +3.5586e+00 -1.4295e+00 -3.2713e+00 -2.2914e+00 +4.5491e+00 +1.1194e+00 -3.3516e+00
273 +5.701238796e+02 +5.701238796e+02 +5.955938796e+02 +5.955938796e+02 -1.8488e+00 -4.5115e+00 -2.8657e+00 +1.0044e+00 -2.3606e+00 -3.3579e-01 +8.6850e-05 -2.0960e+00 +5.0000e+00 +2.9191e-01 -2.0980e+00 -3.8991e+00 +3.8516e+00 -2.2944e+00 -4.1674e-01 -5.0000e+00 -8.6616e-01 +2.0629e+00 +1.8595e+00 -1.5941e+00
604 +3.478795784e+02 +3.478795784e+02 +3.733495784e+02 +3.733495784e+02 -2.3308e+00 -2.9572e+00 +8.2328e-01 +4.3036e-01 +0.0000e+00 +1.0330e+00 -1.1979e+00 +0.0000e+00 +2.0952e+00 -2.3474e+00 +0.0000e+00 -1.6413e+00 +0.0000e+00 +1.9114e+00 +3.0728e-01 -5.0000e+00 +3.1082e+00 +3.3724e+00 +8.3132e-01 -3.0927e+00
1502 +2.460691400e+02 +2.460691400e+02 +2.715391400e+02 +2.715391400e+02 -2.2145e+00 -3.4793e+00 +1.6402e+00 +0.0000e+00 -1.5444e+00 +7.4196e-01 +4.7376e-01 +1.4015e-01 +2.4867e+00 -1.2164e+00 -3.0298e+00 -1.1140e+00 -6.4252e-01 -7.6479e-02 +3.1754e+00 -4.4807e+00 +6.9562e-01 +3.1308e+00 +2.3240e+00 -4.4327e+00
3485 +1.584537071e+02 +1.584537071e+02 +1.839237071e+02 +1.839237071e+02 -3.4064e+00 -2.9158e+00 -7.1256e-01 -8.5775e-01 -1.3842e+00 -3.0916e-01 -3.2259e-01 -6.9761e-01 +3.8019e+00 -5.3657e-02 -2.8290e+00 -1.5019e+00 -1.6544e+00 -7.9016e-01 +4.0716e+00 -4.3795e+00 +1.9255e+00 +4.1841e+00 +2.0307e+00 -4.4456e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.388958681e+03 +1.388958681e+03 +1.288148681e+03 +1.288148681e+03 -2.4162e+00 +4.0260e+00 +1.2691e-01 +3.0134e+00 -4.3779e-01 +4.4549e+00 +1.9569e+00 -2.4982e+00 -6.2510e-01 -4.5569e+00 +1.4944e+00 +1.1673e+00 -1.7061e+00 +2.9856e+00 +3.6090e+00 +2.7519e+00 +4.2340e-01 +2.3358e+00 -4.5894e+00 +1.9569e+00
15 +8.922418492e+02 +8.922418492e+02 +7.914318492e+02 +7.914318492e+02 +3.2590e+00 -4.9501e-01 +2.9589e-01 +7.6865e-01 +4.1910e+00 +3.4520e-01 -1.0143e-01 -1.3464e+00 -8.3946e-01 -2.9243e+00 +2.0602e+00 -4.2202e+00 -3.4973e-01 -4.1637e-01 +4.9628e+00 +4.3927e+00 -4.6407e+00 -1.0812e+00 +4.1189e+00 +1.1619e+00
214 +6.064574114e+02 +6.064574114e+02 +5.056474114e+02 +5.056474114e+02 +2.0987e+00 +5.4012e-01 +1.2427e+00 -1.3654e+00 +3.4921e+00 -8.9086e-01 -1.0718e+00 +1.9527e+00 -1.8665e+00 +6.6525e-01 -3.2257e+00 +6.3661e-01 -3.1253e+00 +2.1440e+00 +4.1274e-01 +3.8717e+00 +1.7542e+00 +1.8771e+00 +4.0682e+00 +5.0000e+00
628 +3.417229258e+02 +3.417229258e+02 +2.409129258e+02 +2.409129258e+02 +1.2331e+00 +3.1897e+00 +1.1268e+00 -1.5306e+00 +4.0951e+00 -1.5778e+00 -1.1249e+00 +7.4936e-01 -4.7000e+00 -1.4879e-01 +6.4857e-01 -5.0000e+00 -1.5584e+00 -2.3885e+00 +0.0000e+00 +1.8913e+00 +0.0000e+00 -1.8821e+00 +2.5312e+00 +5.3660e-02
2288 +2.220455245e+02 +2.220455245e+02 +1.212355245e+02 +1.212355245e+02 +2.5567e+00 +3.2768e+00 +7.5250e-01 -1.7302e+00 +3.2781e+00 -8.8672e-01 +4.7020e-01 +3.0670e-01 -3.7700e+00 -1.0859e+00 +1.3119e+00 -4.4227e+00 -1.2787e+00 -3.5225e+00 +1.4361e+00 +2.0128e+00 +6.7631e-01 -1.5363e+00 +2.0698e+00 +8.7853e-01
% function evaluation | noise-free fitness - Fopt (8.333000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.055186805e+03 +2.055186805e+03 +2.138516805e+03 +2.138516805e+03 +3.3215e+00 +2.1880e+00 -4.4548e+00 -3.6696e+00 +1.2376e+00 -5.4718e-01 -9.4443e-01 -2.7696e+00 -3.6978e+00 +2.4872e+00 +1.9074e+00 +3.4348e+00 +3.2203e+00 -4.2387e+00 +1.9810e+00 +3.8688e+00 +4.8818e+00 +2.0741e+00 +4.7645e+00 +4.4359e+00
13 +8.999056106e+02 +8.999056106e+02 +9.832356106e+02 +9.832356106e+02 +4.8702e+00 +1.1305e-02 -3.7617e+00 +3.2885e+00 +2.2646e+00 +3.6071e+00 -1.0748e+00 -4.3984e+00 -4.8792e+00 +3.9339e+00 +4.9617e+00 +9.3763e-01 +1.9286e+00 +2.1969e+00 +3.8634e+00 -3.7604e+00 -4.3707e+00 -4.9310e-01 +1.5502e+00 +7.8587e-01
306 +5.664207630e+02 +5.664207630e+02 +6.497507630e+02 +6.497507630e+02 +5.0000e+00 -8.2323e-01 -4.5672e-01 +1.8545e-01 +5.0000e+00 +1.9701e+00 +1.1016e+00 -2.9511e+00 -3.7858e+00 +5.0000e+00 +1.4096e+00 +1.5613e+00 +1.4579e+00 +4.9175e-01 +2.1874e-01 -5.0000e+00 -8.4382e-01 +3.3789e+00 +4.3665e+00 +3.1436e+00
730 +3.959379543e+02 +3.959379543e+02 +4.792679543e+02 +4.792679543e+02 +0.0000e+00 +0.0000e+00 +8.7137e-01 +3.2483e+00 +1.4328e+00 +7.0460e-01 -1.5899e+00 +0.0000e+00 -3.1758e+00 +3.7448e+00 +1.5973e+00 +7.3238e-01 +2.4038e+00 -5.3127e-01 +2.9421e+00 -2.0116e+00 -3.1098e+00 +4.6768e-02 +1.7698e+00 +2.6467e+00
1685 +2.102507399e+02 +2.102507399e+02 +2.935807399e+02 +2.935807399e+02 +7.3021e-01 -1.3491e+00 +5.0000e+00 +2.5628e+00 +2.1752e+00 +2.1573e-01 -8.1242e-01 -2.0412e+00 -2.7647e+00 +3.7914e+00 +2.4935e+00 +8.5054e-01 -2.2715e-01 -1.0216e+00 +3.4938e+00 -2.2490e+00 -3.7545e+00 +1.1129e+00 +2.8422e+00 +2.7912e+00
4289 +1.550246463e+02 +1.550246463e+02 +2.383546463e+02 +2.383546463e+02 +7.6271e-01 -8.7400e-01 +5.0000e+00 +2.6568e+00 +2.1880e+00 +1.2524e-01 -6.1047e-01 -2.6804e+00 -9.2565e-01 +3.7470e+00 +1.3643e+00 +8.7362e-01 +6.2177e-01 -1.4938e+00 +3.4265e+00 -2.7702e+00 -1.4350e+00 +1.8220e+00 +3.1275e+00 +2.8803e+00
% function evaluation | noise-free fitness - Fopt (2.085600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.985807175e+03 +1.985807175e+03 +2.194367175e+03 +2.194367175e+03 +2.5055e+00 -2.3191e+00 -4.8245e+00 +4.4900e+00 -3.1832e+00 +9.0219e-01 +2.1042e+00 +1.8623e+00 +3.1249e+00 -3.3368e+00 +2.2799e+00 +2.9537e+00 -5.6359e-01 +3.3131e+00 +1.5961e+00 +1.9911e+00 -2.1707e+00 +7.1586e-01 -6.5577e-01 -3.1218e+00
3 +1.290741533e+03 +1.290741533e+03 +1.499301533e+03 +1.499301533e+03 -2.3893e+00 +2.1956e-01 -1.1900e+00 +1.0888e+00 -3.7443e+00 +2.9694e+00 +2.4139e-01 -4.4894e-01 -3.4915e+00 -5.4517e-01 -3.4309e+00 -1.9809e+00 -2.5974e+00 -3.6796e+00 -2.9151e+00 -4.2305e+00 -5.3876e-01 -8.6581e-01 -1.9985e-01 +7.3707e-01
16 +8.593263559e+02 +8.593263559e+02 +1.067886356e+03 +1.067886356e+03 +1.4833e+00 +3.0432e+00 +3.0953e+00 +5.5005e-01 -2.4391e+00 -3.4099e+00 -4.9141e-01 +3.8738e+00 -1.4787e+00 +1.2685e+00 -3.0733e+00 +1.7355e-01 +3.8069e+00 -2.7695e+00 +4.0998e+00 +2.3741e+00 -2.6755e+00 +1.4086e+00 +1.2015e+00 +1.0170e+00
260 +5.675293267e+02 +5.675293267e+02 +7.760893267e+02 +7.760893267e+02 +2.4041e-01 +1.7468e+00 +2.4624e+00 +3.1181e+00 -5.0000e+00 +4.8494e-01 +2.9759e-01 +4.9040e+00 +2.3888e+00 -3.4504e+00 +2.4364e-01 +6.6690e-02 -5.0000e+00 -3.3843e+00 -2.3506e+00 -3.2649e+00 +1.5538e+00 +1.4325e+00 -4.3710e-01 -1.5986e+00
479 +3.879646111e+02 +3.879646111e+02 +5.965246111e+02 +5.965246111e+02 +2.1621e+00 +1.4834e+00 +4.3343e+00 -8.7358e-01 +0.0000e+00 -6.4449e-01 +2.2611e-01 +1.6540e+00 -1.7139e+00 -5.0000e+00 -1.2802e+00 +0.0000e+00 -3.4432e+00 -1.4409e+00 +4.4251e+00 -5.0000e+00 -4.5568e-01 +9.1563e-01 +8.9985e-01 -1.4376e+00
2514 +2.340216058e+02 +2.340216058e+02 +4.425816058e+02 +4.425816058e+02 +2.7225e+00 +4.8104e+00 +3.0543e+00 -1.7759e+00 -5.4654e-01 -3.6917e+00 +2.0728e+00 +1.5231e+00 -1.0084e+00 -4.9180e+00 -1.9452e+00 -5.6298e-01 -4.8644e+00 -2.9945e+00 +4.6846e+00 -5.0000e+00 -1.4665e+00 -7.1612e-01 +3.9564e-01 -2.3687e+00
4803 +1.513274838e+02 +1.513274838e+02 +3.598874838e+02 +3.598874838e+02 +2.3246e+00 +4.3296e+00 +2.1456e+00 -1.5148e+00 -4.9253e-01 -4.2755e+00 +2.9055e+00 +4.1758e+00 -3.2532e+00 -4.9520e+00 -8.4469e-01 -1.5742e+00 -4.1392e+00 -1.8868e+00 +4.6785e+00 -5.0000e+00 -1.0151e+00 -1.4603e+00 +1.1830e+00 -4.1177e-01
% function evaluation | noise-free fitness - Fopt (-1.345800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.686646085e+03 +3.686646085e+03 +3.552066085e+03 +3.552066085e+03 +4.2097e+00 +3.2652e+00 +4.8601e+00 -2.3473e+00 -3.0941e-01 +4.3822e+00 -4.7380e+00 -1.5518e+00 -4.8911e+00 +3.8427e+00 -2.5497e+00 -4.8252e+00 +3.2081e+00 -4.5682e+00 -2.6410e+00 -2.0219e-01 +1.8249e+00 -5.4448e-01 -1.9177e-01 +1.8444e+00
2 +1.206121006e+03 +1.206121006e+03 +1.071541006e+03 +1.071541006e+03 -2.6151e+00 +2.3461e+00 -7.6714e-01 +3.2565e+00 +3.5614e+00 +3.2344e+00 -2.0930e+00 -1.1609e+00 -3.7132e-01 +1.3280e+00 -2.6931e+00 +3.3219e+00 +2.2689e+00 +2.2942e+00 +1.1904e+00 +4.2875e+00 -3.7148e+00 +3.8589e+00 +2.3582e+00 -3.9639e+00
6 +9.069095544e+02 +9.069095544e+02 +7.723295544e+02 +7.723295544e+02 -4.4072e+00 -1.4077e+00 +1.8444e+00 -3.9175e+00 -4.9245e+00 +4.9664e+00 +4.0827e-01 -3.7182e+00 +2.8168e+00 +3.6261e+00 +1.5960e+00 +4.8434e+00 +6.1169e-01 +5.2988e-01 +2.1109e+00 -2.9918e+00 -3.1049e+00 -4.8424e+00 +2.9391e+00 -3.7678e+00
202 +5.399565200e+02 +5.399565200e+02 +4.053765200e+02 +4.053765200e+02 +1.3286e+00 -2.6539e+00 +2.4631e+00 -1.7055e-02 -1.4386e+00 +1.7928e+00 +2.9070e+00 -3.4702e+00 -2.9314e+00 +5.0000e+00 -5.5604e-03 +3.9571e+00 -2.7311e+00 +1.5360e+00 +2.3009e-01 -7.1246e-01 -1.1454e+00 -1.1411e+00 -8.5861e-01 +1.0361e+00
641 +3.925363577e+02 +3.925363577e+02 +2.579563577e+02 +2.579563577e+02 -4.9471e-01 -4.9001e-01 +1.0230e+00 +0.0000e+00 +8.4209e-01 +4.6112e+00 +4.1718e+00 +6.5708e-01 -4.8239e-01 +2.4193e+00 -3.5359e+00 +1.5240e+00 +3.0368e+00 -1.9996e+00 +2.1261e+00 -2.8450e+00 -1.3796e+00 -1.8953e-01 +1.0124e+00 -1.1908e+00
1443 +2.446891978e+02 +2.446891978e+02 +1.101091978e+02 +1.101091978e+02 +4.9106e-01 +1.9011e-01 +2.8112e+00 -5.2351e-01 -1.7350e+00 +3.9867e+00 +3.6060e+00 +4.7904e-01 -2.6742e+00 +1.5577e+00 +1.1718e+00 +2.1673e+00 +1.2317e+00 -1.0817e+00 +1.7054e+00 -2.2896e+00 +0.0000e+00 +1.8197e+00 -1.4214e-02 -1.0868e+00
4098 +1.398647207e+02 +1.398647207e+02 +5.284720710e+00 +5.284720710e+00 -1.8947e+00 +1.5745e-01 +2.2095e+00 -4.9856e-01 -7.1142e-01 +3.7701e+00 +4.0868e+00 +6.2804e-01 -3.2485e+00 +2.1339e+00 +1.7121e+00 +2.3210e+00 +1.2993e+00 -1.0827e+00 +2.0679e+00 -1.7014e+00 -1.5958e+00 +2.1776e+00 +7.4330e-01 -3.3037e+00
% function evaluation | noise-free fitness - Fopt (1.205900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.086070916e+03 +1.086070916e+03 +1.206660916e+03 +1.206660916e+03 +3.2180e-01 -1.4176e+00 -7.1411e-01 -1.1662e+00 +1.4005e+00 -4.2001e+00 +1.0428e+00 +1.5186e+00 +4.9737e+00 -2.5819e+00 +1.0445e+00 -1.8999e+00 +1.5741e+00 -3.8299e+00 -2.3408e+00 -4.7118e+00 -1.2798e+00 +6.3358e-01 -4.7664e+00 -1.3952e+00
5 +8.078267562e+02 +8.078267562e+02 +9.284167562e+02 +9.284167562e+02 +4.7058e+00 +3.0865e+00 -3.8638e+00 -3.0220e+00 +4.7663e+00 -3.6225e+00 -1.1420e+00 -3.7079e+00 -3.9787e+00 +2.8842e+00 -2.0001e+00 +7.4209e-01 +3.4929e+00 -3.8188e-02 +3.0322e+00 +2.3150e+00 -1.6112e+00 -1.7694e+00 -5.6794e-01 -1.0707e+00
140 +5.711817705e+02 +5.711817705e+02 +6.917717705e+02 +6.917717705e+02 +6.2904e-01 +1.3164e+00 -1.7857e+00 -1.8253e+00 +2.7795e+00 -3.9004e+00 +1.2595e+00 +2.2309e+00 -3.9874e+00 -9.5811e-01 +3.3577e+00 +2.0185e+00 +1.8045e+00 +4.3304e+00 -4.2510e-02 +1.4555e+00 +3.8474e+00 -4.5681e+00 -4.7866e-01 +1.8106e+00
426 +3.272750806e+02 +3.272750806e+02 +4.478650806e+02 +4.478650806e+02 -6.0486e-01 +1.2065e+00 -3.8373e+00 +0.0000e+00 +2.1438e+00 -5.0000e+00 -2.1910e-01 -3.1817e-03 -9.0712e-01 +1.1305e+00 +2.6367e+00 -1.0447e+00 +1.2049e+00 +7.1153e-01 -2.9925e+00 -7.8591e-01 +1.9117e+00 -2.9943e+00 +8.4076e-01 +1.7259e+00
