% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3602 +1.320206973e+01 +1.320206973e+01 +1.061420697e+02 +1.061420697e+02 +4.9687e-01 +3.0136e+00 +4.4234e-01 +1.9518e+00 +1.2381e+00 +3.6954e+00 +2.2756e+00 -1.7319e+00 +2.9262e+00 +2.4231e+00 +1.6095e+00 -4.0509e+00 -1.1070e+00 -1.9916e-01 +1.6480e+00 +1.5491e+00 +3.8636e+00 -3.7177e+00 +4.6417e-01 -1.2533e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.390142422e+03 +3.390142422e+03 +3.425492422e+03 +3.425492422e+03 -2.3900e+00 +4.7662e+00 +4.6599e+00 +3.1451e+00 -9.3048e-01 -3.5918e+00 -3.6800e+00 +2.9579e+00 -1.8563e+00 -1.5479e+00 -4.8667e+00 +2.8834e+00 -5.9221e-01 +1.1387e+00 +6.2960e-01 +7.2416e-01 +6.7072e-01 -4.3322e+00 -1.5615e+00 -3.7914e+00
5 +2.423159655e+03 +2.423159655e+03 +2.458509655e+03 +2.458509655e+03 -1.3975e+00 -3.9566e+00 +2.5793e+00 +2.7233e+00 +3.3667e+00 -2.0462e+00 +4.0876e+00 +2.9383e+00 +1.7110e+00 +2.6332e+00 +3.9904e+00 +1.1004e+00 -1.0790e+00 -4.5075e+00 -6.3544e-01 -4.9897e+00 +3.7075e+00 +6.2885e-01 +4.1224e+00 +4.2281e+00
6 +7.679229827e+02 +7.679229827e+02 +8.032729827e+02 +8.032729827e+02 +3.7797e+00 +7.0357e-01 -1.7520e+00 +2.7447e+00 -3.3727e-01 -3.7332e+00 -4.4338e+00 +2.8092e+00 -1.6512e+00 -4.8152e+00 -2.2076e+00 -4.0584e+00 -3.2471e+00 +2.3672e+00 +2.2432e+00 +3.2966e+00 +3.7806e+00 -1.7146e+00 +4.9728e+00 +2.3482e+00
237 +5.726645841e+02 +5.726645841e+02 +6.080145841e+02 +6.080145841e+02 -2.3879e-01 -2.6569e+00 -1.8941e-01 +1.1799e+00 -1.2116e+00 -5.0000e+00 -1.3989e-01 +5.0000e+00 +6.0706e-01 -4.1544e+00 +3.0404e+00 -5.0000e+00 +1.1000e-01 -5.9970e-01 -2.2959e-01 +5.0387e-01 +1.9635e+00 -2.4645e+00 +4.1595e+00 +5.0000e+00
326 +3.875009358e+02 +3.875009358e+02 +4.228509358e+02 +4.228509358e+02 +5.0000e+00 -6.1679e-01 +5.0000e+00 +1.0591e+00 -2.9237e+00 -5.0000e+00 -1.9566e+00 +6.0505e-01 +9.8395e-01 -6.3409e-01 +2.7542e+00 -5.0000e+00 -3.2545e-01 +1.0051e+00 +5.0000e+00 +3.3446e+00 +5.0000e+00 +1.8807e+00 +5.0000e+00 +1.9806e+00
632 +2.226552267e+02 +2.226552267e+02 +2.580052267e+02 +2.580052267e+02 +4.3424e+00 +1.0391e-03 +2.6454e+00 +4.4397e+00 -2.2535e+00 -5.0000e+00 -9.7620e-01 +5.2968e-01 +1.1345e-01 -3.1644e-01 +2.7488e+00 -5.0000e+00 +4.7408e+00 +5.6251e-01 +6.0774e-01 +3.5403e+00 +5.0000e+00 +2.2103e-01 +9.8917e-01 +0.0000e+00
1014 +1.386356306e+02 +1.386356306e+02 +1.739856306e+02 +1.739856306e+02 +3.4410e+00 -4.3627e-01 +4.6323e+00 +4.0833e+00 -2.9847e+00 -5.0000e+00 +5.4301e-01 -2.4486e-02 +2.5824e+00 -3.8215e-01 +4.6703e+00 -1.6207e+00 +5.0000e+00 +3.5907e+00 -5.9503e-01 +3.6919e+00 +2.7438e+00 +1.2824e+00 -5.6356e-01 +1.0852e-01
1062 +7.169905667e+01 +7.169905667e+01 +1.070490567e+02 +1.070490567e+02 +3.4114e+00 -1.6857e+00 +3.1001e+00 +4.6407e+00 -4.5861e+00 -5.0000e+00 +7.1330e-01 -1.5613e-01 +2.5152e+00 -3.1439e-01 +2.5956e+00 -2.7887e+00 +1.8168e+00 +2.9855e+00 -3.3496e-03 +2.3925e+00 +4.4140e+00 +2.7837e+00 +1.2212e+00 +4.1283e-02
2099 +6.263649164e+01 +6.263649164e+01 +9.798649164e+01 +9.798649164e+01 +2.9879e+00 -6.2729e-01 +3.5198e+00 +4.8461e+00 -4.8883e+00 -5.0000e+00 +3.7320e-01 -1.9547e+00 +3.5839e+00 -6.4420e-01 +1.3048e+00 -2.8633e+00 +1.1338e+00 +2.1163e+00 -5.5005e-01 +2.6577e+00 +4.5456e+00 +2.1208e+00 +1.6689e+00 -7.1994e-02
2885 +3.695980078e+01 +3.695980078e+01 +7.230980078e+01 +7.230980078e+01 +3.1267e+00 +1.9652e+00 +4.2790e+00 +3.0332e+00 -4.3410e+00 -4.9980e+00 +1.3285e+00 -1.9701e+00 +3.0849e+00 -2.0431e+00 +1.8508e+00 -2.7195e+00 +4.3838e+00 +2.3625e+00 +9.9436e-01 +5.0000e+00 +3.1843e+00 +1.7660e+00 +1.4562e+00 +2.1415e-02
3664 +2.354716332e+01 +2.354716332e+01 +5.889716332e+01 +5.889716332e+01 +3.0194e+00 +2.2005e+00 +4.4408e+00 +3.1711e+00 -4.2011e+00 -4.9980e+00 +1.0349e+00 -1.4066e+00 +2.4352e+00 -1.6454e+00 +1.7805e+00 -2.5782e+00 +4.4424e+00 +2.5125e+00 +3.9896e-01 +5.0000e+00 +2.8847e+00 +2.3457e+00 +1.1693e+00 +1.7198e-01
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.230730043e+03 +1.230730043e+03 +1.234550043e+03 +1.234550043e+03 +2.0563e+00 +4.9522e+00 +3.8012e+00 -8.0110e-01 -4.7972e+00 -4.7001e+00 +3.6082e+00 +2.8071e+00 -3.1473e-01 +3.1133e+00 -1.4164e+00 -3.3926e+00 -3.7752e+00 -7.5868e-01 +3.0626e+00 -3.8757e+00 -3.2541e+00 +3.4779e+00 -1.7074e+00 +4.6478e+00
35 +6.959773459e+02 +6.959773459e+02 +6.997973459e+02 +6.997973459e+02 +3.0415e+00 +1.7741e+00 +3.7308e+00 +4.2781e+00 +2.0760e+00 +2.1078e+00 +2.9235e+00 -1.1466e+00 -3.7766e+00 +2.8233e+00 +3.5903e+00 -4.9736e-02 +1.8015e+00 -5.1100e-01 +3.7198e+00 +3.4315e+00 +4.8346e+00 +4.9166e+00 +2.8975e+00 +1.8044e+00
114 +5.267530420e+02 +5.267530420e+02 +5.305730420e+02 +5.305730420e+02 +1.1720e+00 -2.2279e+00 +2.9093e+00 -3.4327e+00 -1.9357e-01 -4.0364e+00 +8.7675e-01 -2.4265e+00 -2.3304e+00 -3.0520e+00 +3.1407e-01 +1.2100e+00 -2.3191e+00 -2.7426e+00 +1.7510e+00 -2.0501e+00 -7.9898e-02 -2.9706e+00 +4.1155e+00 -7.2888e-01
234 +3.131804349e+02 +3.131804349e+02 +3.170004349e+02 +3.170004349e+02 -9.4022e-01 -1.0000e+00 +2.3756e+00 +1.9504e+00 +1.9371e+00 -2.6606e+00 +2.9944e+00 -2.3086e+00 -1.3923e+00 -6.9027e-01 +1.0801e+00 -2.3667e+00 -1.3223e+00 -3.5933e+00 +5.0000e+00 +3.4164e-01 -3.0303e+00 +2.0737e+00 -1.1733e+00 +3.8807e+00
969 +2.463411919e+02 +2.463411919e+02 +2.501611919e+02 +2.501611919e+02 +2.2059e-01 -1.1739e+00 -2.9307e-01 -4.0788e-01 -8.6289e-01 -2.3482e+00 +2.0515e+00 -4.5180e+00 -4.1930e+00 -1.5782e+00 +2.1138e+00 -2.8247e+00 +0.0000e+00 -3.0482e+00 +1.7582e+00 +1.8094e+00 -1.9204e+00 -3.7710e-01 +1.6206e+00 +5.0000e+00
1441 +1.516549297e+02 +1.516549297e+02 +1.554749297e+02 +1.554749297e+02 +1.0526e+00 -9.5716e-01 -7.1758e-03 -1.4540e+00 +5.5869e-01 -8.7183e-01 +1.3689e+00 -5.6384e-01 -3.5451e+00 -2.1194e+00 +2.9868e+00 -2.0533e+00 -1.6183e-01 -1.9305e+00 +1.4411e+00 +2.6363e+00 -3.3294e+00 +8.6369e-01 -5.1548e-01 +3.2379e+00
2266 +9.967156607e+01 +9.967156607e+01 +1.034915661e+02 +1.034915661e+02 +3.3893e+00 -1.5538e-01 +1.5057e+00 -8.1006e-01 +3.7203e+00 +2.7344e-01 +8.0781e-02 -3.0191e-01 -4.5282e+00 +3.5456e-01 +1.6964e+00 +2.2381e+00 -8.8979e-01 -2.3861e-01 -1.4749e+00 +4.2289e-01 -1.3017e-02 +8.4329e-01 +2.7551e+00 +2.6332e+00
2785 +6.292805705e+01 +6.292805705e+01 +6.674805705e+01 +6.674805705e+01 +5.0000e+00 +7.0661e-01 +7.8188e-01 -1.0185e+00 +2.3388e-02 +2.8513e+00 +3.3217e+00 -1.8753e+00 +7.0462e-02 +5.1265e-01 +4.8435e-01 +1.6389e+00 -3.3515e-01 -7.0294e-01 -7.6015e-01 +9.3646e-01 -4.2853e-01 +1.4902e+00 +1.4220e+00 +4.1609e+00
3202 +3.428768603e+01 +3.428768603e+01 +3.810768603e+01 +3.810768603e+01 +4.4727e+00 +1.1283e+00 +5.9999e-01 -1.6999e+00 +8.5326e-01 +1.3302e+00 +2.6839e+00 -2.5936e+00 +1.0598e+00 -2.5295e-01 +5.4000e-01 +2.2763e+00 -5.4569e-01 -1.5109e+00 -1.4186e+00 +7.3863e-01 +3.1618e-01 +8.7098e-01 +1.6334e+00 +3.9877e+00
3811 +2.394884851e+01 +2.394884851e+01 +2.776884851e+01 +2.776884851e+01 +4.2322e+00 +1.3202e+00 +6.8346e-01 -2.2703e+00 +8.3991e-01 +3.4798e-02 +2.2658e+00 -2.5475e+00 +4.7601e-01 -4.2438e-01 +3.0027e-01 +3.1957e+00 -8.0233e-01 -2.1435e+00 -1.2946e+00 +6.5381e-01 +5.8776e-01 +8.0343e-01 +1.8607e+00 +3.9230e+00
4082 +1.581649544e+01 +1.581649544e+01 +1.963649544e+01 +1.963649544e+01 +4.4128e+00 +5.4522e-01 +5.3620e-01 -2.3103e+00 +5.4064e-01 +6.9429e-01 +2.1959e+00 -2.7294e+00 +9.5110e-01 -5.2480e-01 +5.7199e-01 +2.6240e+00 -1.3984e+00 -2.0874e+00 -1.1236e+00 +7.0032e-01 +8.3791e-01 +6.5957e-01 +1.7116e+00 +3.5842e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.821820158e+03 +6.821820158e+03 +6.843570158e+03 +6.843570158e+03 +2.6308e+00 +3.7926e+00 +3.0960e+00 -2.9610e+00 -4.1473e+00 +4.3321e+00 -3.2806e+00 +9.3372e-01 -3.9873e+00 -2.9768e+00 -2.1557e+00 -4.3348e+00 -3.9727e+00 +2.0157e+00 +1.8820e+00 -2.2442e-01 +4.8397e+00 +1.1479e+00 -1.0433e+00 +2.1623e+00
2 +2.817392126e+03 +2.817392126e+03 +2.839142126e+03 +2.839142126e+03 -4.8156e+00 +2.6373e+00 -3.5432e+00 -4.6600e+00 -3.0001e+00 +9.1454e-01 +4.6394e+00 +2.3770e+00 +3.3839e+00 +9.0940e-01 -4.4006e-01 -2.5766e+00 +3.0273e+00 -3.0667e+00 -1.5877e+00 +4.6334e+00 -4.1073e+00 +7.1858e-01 +1.7954e+00 -1.2871e+00
5 +1.844747191e+03 +1.844747191e+03 +1.866497191e+03 +1.866497191e+03 -2.7894e+00 -1.9857e+00 -8.1541e-02 +2.4025e+00 +1.3631e+00 +3.2579e+00 -1.5782e+00 -1.5853e+00 +3.5706e+00 -3.6933e+00 -1.2019e-01 -4.8521e+00 -1.0421e+00 -3.8923e+00 -3.2818e+00 -3.4526e+00 -3.3101e+00 +7.5592e-01 -2.6961e-01 -3.1488e+00
8 +1.339750234e+03 +1.339750234e+03 +1.361500234e+03 +1.361500234e+03 -3.1886e+00 -3.9995e+00 +4.3256e+00 -7.4332e-01 +2.1225e+00 +1.4941e-01 +4.4960e+00 -2.0772e+00 +3.2585e+00 -2.0705e+00 +3.1216e+00 +2.1620e+00 -4.1188e-01 -1.5025e+00 -9.5753e-01 +1.7761e+00 +5.6524e-01 -4.8065e-01 -2.2103e-01 -3.2116e+00
60 +9.676249094e+02 +9.676249094e+02 +9.893749094e+02 +9.893749094e+02 +3.9059e+00 +3.4005e+00 -1.6236e+00 +1.8229e+00 -4.5775e+00 +1.4037e+00 +4.6960e+00 -1.2082e+00 +1.1147e+00 -2.5950e+00 +1.5722e-01 -4.3699e+00 +4.6091e+00 -4.9301e+00 -2.9774e-01 -1.5513e+00 +1.6796e+00 -2.0407e+00 +3.2809e-01 -3.6936e+00
85 +5.684750729e+02 +5.684750729e+02 +5.902250729e+02 +5.902250729e+02 +1.0878e+00 -1.9392e+00 -8.5859e-01 +7.6004e-01 +1.1726e+00 -3.9870e+00 -3.4447e+00 +4.5091e+00 +3.2140e+00 +2.6853e+00 +1.4600e+00 -3.8437e-01 +3.0982e+00 -3.1882e+00 -1.9935e+00 +1.2739e+00 -1.7911e+00 +3.5375e+00 -3.5416e+00 +7.0768e-01
243 +3.719114820e+02 +3.719114820e+02 +3.936614820e+02 +3.936614820e+02 -2.6000e+00 -8.0889e-01 +3.9560e-01 -2.9958e+00 +1.4977e+00 -4.4323e+00 +4.0919e+00 +7.7105e-01 +5.3877e-01 +3.9737e+00 -3.7779e+00 -4.0678e-03 +4.0474e+00 +1.6401e+00 -2.4589e+00 +3.1560e+00 -4.6228e+00 +3.5215e+00 -5.0000e+00 +3.6552e-01
687 +2.210589937e+02 +2.210589937e+02 +2.428089937e+02 +2.428089937e+02 +3.2994e+00 +2.7113e+00 -1.8818e+00 +2.2465e+00 +0.0000e+00 -5.0000e+00 +2.9566e+00 -2.0909e+00 +4.3175e+00 +3.5565e+00 +3.7653e+00 -2.0856e+00 +5.0000e+00 -9.2248e-01 -2.6514e+00 +2.9251e+00 -1.3875e+00 +2.7316e+00 +0.0000e+00 +3.5758e+00
1265 +1.531215126e+02 +1.531215126e+02 +1.748715126e+02 +1.748715126e+02 +4.3813e+00 +9.6332e-01 +9.1887e-01 +3.8781e-01 -2.4308e+00 -5.0000e+00 +3.0366e+00 +6.9599e-01 +3.2278e+00 +3.2346e+00 +3.6534e+00 -2.3641e+00 +5.0000e+00 +2.3619e-01 -2.8451e+00 +0.0000e+00 +8.4443e-01 +5.0000e+00 -2.2289e-01 +2.4854e+00
1839 +8.382781976e+01 +8.382781976e+01 +1.055778198e+02 +1.055778198e+02 +4.9321e+00 +3.4207e-01 -2.4128e+00 +1.7616e+00 -3.2975e+00 -3.9789e+00 +3.5879e+00 +3.1274e-01 -1.7192e-01 +3.7972e+00 +3.5442e+00 -2.8949e+00 +4.4498e+00 -1.2012e+00 -3.9750e+00 -1.7174e+00 +8.9890e-01 +4.5778e+00 -9.8761e-01 +5.7416e-01
2480 +6.005594415e+01 +6.005594415e+01 +8.180594415e+01 +8.180594415e+01 +4.8457e+00 +1.3571e+00 -2.5399e+00 +4.1907e+00 -1.9164e+00 -4.5637e+00 +2.3199e+00 +7.7188e-01 +1.7334e-01 +4.1755e+00 +3.4421e+00 -3.1533e+00 +4.2309e+00 -1.7098e+00 -2.6530e+00 -1.9883e+00 +1.2078e-01 +2.9252e+00 -1.1368e+00 -2.3674e-01
3264 +3.217763837e+01 +3.217763837e+01 +5.392763837e+01 +5.392763837e+01 +4.8086e+00 +1.0562e+00 -1.9957e+00 +3.4503e+00 -2.3402e+00 -4.1821e+00 +2.3062e+00 +3.2303e-01 +2.7639e-01 +4.1853e+00 +3.8162e+00 -1.1367e+00 +4.1621e+00 -6.0057e-01 -2.3076e+00 -2.5742e+00 -2.4663e-01 +1.9740e+00 -1.1549e+00 +4.9218e-01
3961 +2.362158959e+01 +2.362158959e+01 +4.537158959e+01 +4.537158959e+01 +4.8537e+00 +6.4937e-01 -2.4983e+00 +3.3500e+00 -2.2725e+00 -4.2265e+00 +1.6984e+00 +4.6017e-01 +1.3566e+00 +4.3623e+00 +3.7035e+00 -9.9196e-01 +3.1229e+00 -6.9586e-01 -2.5210e+00 -2.5289e+00 -1.1064e+00 +2.3110e+00 -1.6286e+00 +7.0938e-01
4805 +1.580404236e+01 +1.580404236e+01 +3.755404236e+01 +3.755404236e+01 +4.8677e+00 +7.9788e-01 -2.3744e+00 +4.0253e+00 -2.1080e+00 -3.9514e+00 +2.0507e+00 +5.4542e-01 +1.4456e+00 +4.2120e+00 +3.0895e+00 -9.0343e-01 +3.1578e+00 -7.0606e-01 -2.5430e+00 -2.4107e+00 -9.0544e-01 +2.3465e+00 -1.6994e+00 +7.4394e-01
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.530356899e+03 +2.530356899e+03 +2.595146899e+03 +2.595146899e+03 +2.5374e+00 +3.9956e+00 +3.0403e+00 -4.2485e+00 -4.0761e+00 -2.9142e+00 +2.3825e+00 -3.0953e+00 -1.9826e+00 -1.6331e+00 -2.3016e+00 +2.4110e+00 +8.8251e-01 -8.1747e-01 -2.0527e+00 -4.8682e+00 -2.5855e+00 +4.4896e+00 -9.6032e-01 +1.5828e+00
4 +2.090307826e+03 +2.090307826e+03 +2.155097826e+03 +2.155097826e+03 +1.0223e+00 +3.8328e+00 -3.4203e+00 +1.1730e+00 +5.9432e-01 +4.4647e+00 +1.4279e+00 -1.3962e+00 -1.3745e+00 +3.5575e+00 +4.0055e+00 +1.9867e+00 +4.3067e+00 -1.6433e+00 -2.9198e-01 +1.4721e+00 -3.9033e+00 +3.7164e+00 +3.8413e+00 -1.3601e+00
10 +1.448956544e+03 +1.448956544e+03 +1.513746544e+03 +1.513746544e+03 -2.1410e+00 +2.9113e+00 -5.0029e-02 -3.5715e-01 +2.1209e+00 +2.2248e+00 -1.8844e+00 +2.0180e+00 -9.5127e-01 +3.6402e+00 -1.3653e+00 -9.0247e-02 -4.0319e-01 -2.1776e-01 -2.8458e-01 +2.2011e+00 +4.3424e+00 +2.1598e+00 -1.1859e+00 -4.9150e+00
27 +5.165557576e+02 +5.165557576e+02 +5.813457576e+02 +5.813457576e+02 -3.0963e+00 +3.5779e+00 -2.0738e+00 +3.3642e-01 +4.0577e-01 -2.6244e+00 +7.2432e-01 +2.7599e-01 -2.8274e-01 +3.9667e+00 +4.6500e+00 +1.4578e+00 +2.4246e+00 -3.5798e+00 -1.4276e+00 -7.1990e-01 -3.1699e+00 -4.6361e+00 -2.0660e+00 +2.6026e+00
81 +3.431638578e+02 +3.431638578e+02 +4.079538578e+02 +4.079538578e+02 -2.8823e+00 +1.6496e-01 -4.9318e+00 -3.2961e-01 -4.8560e-01 -4.2710e+00 -4.3466e+00 +1.0673e+00 -4.0834e+00 +9.0183e-01 +3.8471e+00 -4.4145e+00 +2.8520e+00 -2.9726e+00 -2.5087e-01 -2.2684e+00 -4.7425e+00 +3.0154e+00 -9.1775e-01 -4.0454e+00
665 +2.315595526e+02 +2.315595526e+02 +2.963495526e+02 +2.963495526e+02 -3.7991e+00 +2.6484e+00 -4.9880e+00 -2.4907e-01 -4.5757e-01 -3.8595e+00 -1.7976e+00 +4.9151e-01 -2.9316e+00 +1.8736e+00 +5.0000e+00 -5.0000e+00 +2.1881e+00 -4.9666e+00 -8.4093e-01 +1.5795e+00 -3.7058e+00 +1.8139e+00 +4.4848e-02 -3.9482e+00
1061 +1.476215318e+02 +1.476215318e+02 +2.124115318e+02 +2.124115318e+02 -7.9298e-01 +3.0117e+00 -4.9987e+00 -3.2100e-01 -9.4653e-01 -3.8319e+00 -2.9614e+00 -3.8915e-01 -4.5328e+00 +0.0000e+00 +3.5056e+00 -5.0000e+00 +1.1770e+00 -4.4572e+00 +1.7497e-02 +1.5124e+00 -2.5042e+00 +1.0248e+00 -1.2374e+00 -3.6373e+00
2038 +9.601091904e+01 +9.601091904e+01 +1.608009190e+02 +1.608009190e+02 -2.2107e+00 +4.9776e-01 -4.9953e+00 +8.2088e-01 -2.4125e+00 -3.5830e+00 -3.5246e+00 -1.1761e+00 -4.0991e+00 +1.7088e+00 +4.2200e+00 -4.7427e+00 +6.0067e-01 -4.4536e+00 -1.0275e+00 +1.3371e+00 -2.6245e+00 -1.6432e-01 +1.2738e+00 -3.8097e+00
2867 +5.882794918e+01 +5.882794918e+01 +1.236179492e+02 +1.236179492e+02 -2.4806e+00 -2.5114e-01 -4.4604e+00 +1.5355e+00 -4.1350e+00 -3.6989e+00 -4.1116e+00 -6.2109e-01 -4.1398e+00 +2.0423e+00 +4.3379e+00 -4.9747e+00 +6.5240e-01 -3.3395e+00 -4.1428e-01 +2.4131e+00 -2.8460e+00 +1.7596e+00 +1.5292e+00 -4.1941e+00
4649 +3.948391689e+01 +3.948391689e+01 +1.042739169e+02 +1.042739169e+02 -2.4557e+00 -1.8483e+00 -4.4307e+00 +1.6688e+00 -3.8206e+00 -4.0008e+00 -4.1821e+00 -1.3303e-01 -2.6799e+00 +2.2641e+00 +4.0962e+00 -4.3309e+00 +8.4927e-01 -2.1167e+00 -1.6129e-01 +2.5281e+00 -2.7953e+00 -4.8866e-01 +2.4436e+00 -3.5239e+00
% function evaluation | noise-free fitness - Fopt (5.407000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.070690524e+03 +3.070690524e+03 +3.124760524e+03 +3.124760524e+03 -3.7493e-01 -1.7273e+00 +2.3068e+00 -4.3793e+00 +1.6550e+00 +1.5605e+00 -7.7429e-01 +2.5493e+00 +2.1530e+00 +9.2726e-01 +3.0269e-01 +2.0784e+00 -3.7028e+00 +2.7133e+00 +1.7655e+00 +2.0890e-01 -1.4278e+00 +8.4014e-01 +3.9672e+00 +2.4913e+00
2 +1.506189894e+03 +1.506189894e+03 +1.560259894e+03 +1.560259894e+03 +4.9320e+00 -4.1259e+00 -2.9326e+00 +1.0544e+00 +1.6853e+00 +4.1074e+00 -4.0009e+00 +3.3417e+00 -4.2199e+00 +2.2621e+00 -1.4291e+00 +4.5411e+00 -1.4911e-01 +3.1812e+00 -9.1835e-01 +2.6337e+00 -4.9611e+00 +4.5941e+00 +1.0856e+00 +1.3187e+00
79 +9.619717862e+02 +9.619717862e+02 +1.016041786e+03 +1.016041786e+03 +4.3836e+00 -4.6756e+00 -4.3554e+00 +4.4316e+00 -2.2014e+00 -2.7573e+00 +2.0980e+00 -8.4130e-01 -4.8056e+00 +1.6327e+00 -4.3551e+00 +3.9036e+00 +1.6740e+00 +6.2524e-01 +1.1167e+00 +2.2756e+00 -3.1263e+00 +2.2365e+00 -4.8577e+00 -2.6260e+00
