% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +3.798589614e+05 +3.798589614e+05 +3.788589614e+05 +3.788589614e+05 +4.4633e-01 -4.4912e+00 -4.3962e+00 +3.0244e+00 -1.1300e+00 -2.9530e+00 +2.2353e+00 +1.0110e+00 +2.3564e-01 -1.9914e+00 +1.8730e+00 -2.5540e+00 -2.2930e+00 +2.6165e-01 +2.9257e+00 -9.5092e-01 +1.0225e+00 -1.4569e+00 -5.7602e-01 -2.7376e+00
60 +1.900816092e+05 +1.900816092e+05 +1.890816092e+05 +1.890816092e+05 -1.5889e+00 +1.6665e+00 +1.0990e-01 -4.5548e+00 +1.2261e+00 -4.3260e+00 -3.2929e+00 -2.4388e+00 +1.6845e+00 +4.0140e+00 -4.0635e+00 +2.6871e+00 -4.5567e+00 +5.0386e-01 +1.5074e-01 +1.2646e+00 -2.4359e+00 -2.0814e+00 -4.6441e+00 +8.1649e-01
170 +1.210882726e+05 +1.210882726e+05 +1.200882726e+05 +1.200882726e+05 -1.9638e+00 -1.2271e+00 +4.0921e+00 -1.3162e+00 +4.4427e-01 +3.2683e+00 -1.7360e+00 -4.8341e+00 +1.4534e+00 +5.8747e-02 +1.8253e+00 -4.3519e+00 +3.4111e-01 -2.3384e+00 +3.0188e+00 -7.6786e-01 +3.7626e+00 -4.9813e+00 -4.5938e+00 +2.4720e+00
351 +5.881402333e+04 +5.881402333e+04 +5.781402333e+04 +5.781402333e+04 -8.9918e-01 -1.6160e+00 +4.0211e+00 -2.2602e+00 +3.2899e-01 -2.2926e+00 -1.2724e+00 -3.1396e+00 +2.9200e+00 +1.5594e+00 +2.2002e-01 -1.0828e+00 -2.2852e+00 -3.9075e+00 +1.3427e-01 +1.0375e+00 +1.2371e+00 -2.8312e+00 +2.3416e-02 +2.8563e+00
611 +3.851797622e+04 +3.851797622e+04 +3.751797622e+04 +3.751797622e+04 -2.3571e+00 -2.2499e+00 +2.6075e+00 -1.5553e+00 -3.3483e-01 -2.6522e+00 +5.8341e-02 -3.8660e+00 +1.9632e+00 +3.5010e+00 -7.3339e-01 +2.7846e-01 -3.9404e+00 -3.4360e+00 +2.3035e+00 +0.0000e+00 +7.4425e-01 -1.7675e+00 -2.3597e+00 -1.8891e+00
1040 +2.179779618e+04 +2.179779618e+04 +2.079779618e+04 +2.079779618e+04 -1.7535e+00 +2.6631e-01 -4.6664e-01 -2.3702e-01 -1.1610e+00 +3.7300e-01 -4.2988e+00 -1.5871e+00 +3.8848e-01 +1.3821e-01 +1.0196e+00 -1.2597e+00 +4.9612e-01 -4.6620e+00 -9.0357e-01 -4.4240e+00 -3.1949e-02 -1.1517e+00 -2.3692e-01 +2.2466e+00
1152 +9.528348811e+03 +9.528348811e+03 +8.528348811e+03 +8.528348811e+03 -3.7665e+00 +4.9477e-01 +8.3862e-01 -3.5639e+00 -3.5957e-01 -6.4105e-01 -3.5181e+00 -3.4116e+00 +6.8847e-01 +8.4992e-01 -9.0171e-01 -9.1809e-01 -4.2902e-01 -5.0000e+00 -3.1567e-01 -2.7922e+00 -7.9368e-01 -1.0546e+00 -2.2594e-01 +3.3732e+00
1677 +5.881253674e+03 +5.881253674e+03 +4.881253674e+03 +4.881253674e+03 -3.7819e+00 -6.0469e-01 +1.8858e+00 -3.1623e+00 -1.2850e+00 -9.7166e-01 -2.8727e+00 -1.0802e+00 +2.0572e+00 +8.5183e-01 -2.0686e+00 -1.0742e+00 -7.7124e-01 -4.6962e+00 +1.4986e-01 -2.0515e+00 -2.2929e+00 -1.9102e+00 -7.7076e-01 +8.3155e-01
2077 +3.178864536e+03 +3.178864536e+03 +2.178864536e+03 +2.178864536e+03 -3.4726e+00 -7.8625e-01 +1.6344e+00 -2.8052e+00 -2.9432e+00 -7.2219e-01 -2.3527e+00 -3.8485e+00 +1.1008e+00 +7.9594e-01 -2.7205e+00 -1.0720e+00 -8.2272e-01 -4.6397e+00 +7.6856e-02 -8.7161e-01 -5.5778e-01 -3.1620e+00 -3.2831e+00 +1.3667e-01
2242 +2.349067723e+03 +2.349067723e+03 +1.349067723e+03 +1.349067723e+03 -4.4261e+00 +5.8606e-01 +1.3613e+00 -1.4014e+00 -2.3566e+00 -1.1410e+00 -2.9532e+00 -2.6630e+00 +1.6536e+00 +1.0051e+00 -1.0734e+00 -2.1010e+00 -2.4593e+00 -4.7366e+00 +4.9782e-01 -2.0350e+00 -3.4952e-01 -2.9170e+00 -4.1724e+00 -1.0673e-02
2390 +1.288118708e+03 +1.288118708e+03 +2.881187077e+02 +2.881187077e+02 -3.9078e+00 +2.3944e-01 +9.9447e-01 -3.0222e+00 -2.4475e+00 -1.8355e+00 -2.4343e+00 -3.0329e+00 +1.0462e+00 +1.8916e+00 -2.6418e+00 -2.3264e+00 -2.2873e+00 -3.9452e+00 +8.5730e-01 -1.3795e+00 -1.0774e+00 -3.3127e+00 -4.4339e+00 +4.9904e-01
2907 +8.792002969e+02 +8.792002969e+02 -1.207997031e+02 -1.207997031e+02 -3.3424e+00 -5.2794e-01 -1.8973e-01 -3.2515e+00 -2.5504e+00 +1.2972e-01 -2.0039e+00 -1.5713e+00 +1.1408e+00 +2.0577e+00 -2.1836e+00 -2.1307e+00 -1.7820e+00 -3.4690e+00 +6.3850e-01 -1.5071e+00 -6.6076e-01 -3.2392e+00 -4.3416e+00 -6.0047e-01
3216 +6.291345706e+02 +6.291345706e+02 -3.708654294e+02 -3.708654294e+02 -3.1217e+00 +4.7587e-01 -9.1432e-02 -3.0344e+00 -2.4214e+00 -1.9556e-01 -2.3867e+00 -1.4302e+00 +9.7360e-01 +2.2167e+00 -2.1572e+00 -2.2404e+00 -1.2536e+00 -3.2735e+00 +2.5971e-01 -1.5067e+00 -9.2081e-01 -4.0316e+00 -4.4597e+00 -3.0849e-01
3633 +3.883335839e+02 +3.883335839e+02 -6.116664161e+02 -6.116664161e+02 -3.2787e+00 -1.3077e-02 +5.1752e-01 -2.9637e+00 -2.5723e+00 -2.7813e-01 -2.0070e+00 -1.7041e+00 +6.3097e-01 +2.2883e+00 -1.8943e+00 -1.9690e+00 -1.8765e+00 -3.6239e+00 +4.7054e-01 -1.5612e+00 -3.0806e-01 -3.6414e+00 -4.3830e+00 -6.4139e-01
4456 +2.439308984e+02 +2.439308984e+02 -7.560691016e+02 -7.560691016e+02 -3.5387e+00 +1.8332e-01 +5.2767e-01 -2.8710e+00 -2.6400e+00 -4.2329e-01 -2.7034e+00 -2.0652e+00 +2.8430e-01 +2.2482e+00 -1.7916e+00 -2.0245e+00 -1.7594e+00 -3.8867e+00 +2.5685e-02 -1.4511e+00 -4.1462e-01 -3.5961e+00 -4.2103e+00 -8.7254e-01
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.273779373e+05 +9.273779373e+05 +9.274765573e+05 +9.274765573e+05 +3.8201e+00 +3.0186e+00 -2.8367e+00 +2.3510e+00 +2.5434e+00 -1.1735e+00 +1.5098e+00 +4.4870e+00 +2.6793e+00 -1.8888e+00 +1.2063e+00 +3.9963e-01 +1.1815e-01 -2.9361e+00 -2.8589e+00 +1.6385e+00 +2.7740e+00 -2.4448e+00 -2.3468e+00 -2.5120e+00
2 +2.927804243e+05 +2.927804243e+05 +2.928790443e+05 +2.928790443e+05 +2.0808e+00 +2.0531e+00 -2.0391e+00 -1.0328e+00 +3.3309e+00 +7.4899e-01 -8.7443e-01 +1.6831e+00 -4.3905e+00 -3.1875e+00 -3.8736e+00 -2.6762e+00 +2.7308e+00 -1.8636e+00 -3.8190e-01 +2.0102e+00 +2.4345e+00 +2.0359e+00 +8.1784e-01 -1.8254e+00
6 +1.241312768e+05 +1.241312768e+05 +1.242298968e+05 +1.242298968e+05 +5.4834e-01 +5.3537e-01 +3.5403e+00 +1.8577e+00 +1.3294e+00 -1.3206e+00 -1.7015e-01 +5.2303e-01 -5.0529e-02 +7.4281e-01 +1.5659e+00 -3.8545e+00 +3.8942e+00 -3.8089e+00 -4.2616e+00 -1.5489e+00 +2.9215e+00 +1.2642e+00 -9.2901e-01 +4.2720e+00
357 +3.857388898e+04 +3.857388898e+04 +3.867250898e+04 +3.867250898e+04 +9.4993e-01 -7.4539e-01 +1.0218e+00 -3.7155e-01 +1.9429e+00 -1.3805e+00 -4.8045e+00 -5.0000e+00 -3.7851e+00 -3.7605e+00 -2.6409e-01 -5.0000e+00 +4.2426e-01 -5.0000e+00 -2.9020e+00 -1.3201e+00 +3.5168e-03 +4.4189e-01 -1.6555e-01 -2.0541e+00
835 +1.423190770e+04 +1.423190770e+04 +1.433052770e+04 +1.433052770e+04 +0.0000e+00 -2.6459e+00 +2.0147e+00 -2.0272e+00 +6.2007e-01 +1.4411e+00 -5.0000e+00 -3.1274e+00 -5.0000e+00 -2.9620e+00 +1.6445e+00 -4.8544e+00 +2.4970e+00 -3.6275e+00 -3.1966e+00 -4.7044e+00 +1.4056e+00 +2.9061e-01 +1.9823e+00 +5.6571e-01
1208 +8.025183081e+03 +8.025183081e+03 +8.123803081e+03 +8.123803081e+03 -1.3775e+00 -2.5225e+00 +3.2964e-01 -2.2160e+00 +6.7306e-01 +3.7180e-01 -3.9099e+00 -4.2183e+00 -4.3705e+00 -1.7310e+00 -1.5756e-01 -4.5687e+00 +1.0108e+00 -3.6344e+00 -2.3865e+00 -3.5093e+00 +2.7279e+00 +7.4622e-01 -2.5567e-02 -2.7713e+00
1585 +5.610914591e+03 +5.610914591e+03 +5.709534591e+03 +5.709534591e+03 -3.5019e+00 -2.2368e+00 +1.0380e+00 -2.3957e+00 +1.0006e+00 +1.2834e+00 -3.6574e+00 -3.5782e+00 -4.2014e+00 -2.2241e+00 +1.7753e-01 -4.6148e+00 +2.0670e-01 -3.2289e+00 -2.5237e+00 -3.5718e+00 +2.3532e+00 +1.0408e+00 +2.0446e+00 -8.0357e-02
1668 +3.671461859e+03 +3.671461859e+03 +3.770081859e+03 +3.770081859e+03 -1.4376e+00 -2.4952e+00 +1.9953e+00 -2.1642e+00 -5.0462e-01 +4.3972e-01 -3.5232e+00 -2.7429e+00 -4.1263e+00 -1.5947e+00 +1.7321e+00 -4.5259e+00 +4.1268e-01 -2.7602e+00 -2.8179e+00 -2.8269e+00 +1.5771e+00 +1.0655e+00 +2.0180e+00 -7.3165e-01
2013 +2.104168438e+03 +2.104168438e+03 +2.202788438e+03 +2.202788438e+03 -6.7499e-01 -1.8478e+00 +2.0954e+00 -3.3262e+00 +9.7578e-01 +9.4376e-01 -3.2850e+00 -3.7772e+00 -3.8735e+00 +4.0348e-01 +7.9439e-01 -3.6543e+00 +2.1771e-01 -4.4043e+00 -3.0558e+00 -2.8877e+00 +9.7423e-01 +1.7711e+00 +5.0762e-01 -6.3487e-01
2226 +1.569964488e+03 +1.569964488e+03 +1.668584488e+03 +1.668584488e+03 -6.6992e-01 -1.2408e+00 +2.2703e+00 -3.1286e+00 +1.5878e+00 +9.7388e-01 -2.7853e+00 -3.4998e+00 -4.1342e+00 -1.0199e+00 +4.1496e-01 -3.0891e+00 +1.2154e-01 -3.2735e+00 -2.6566e+00 -3.8454e+00 +1.6545e+00 +6.9660e-01 +9.2431e-01 -7.3592e-01
2823 +9.444477163e+02 +9.444477163e+02 +1.043067716e+03 +1.043067716e+03 -9.1404e-01 -1.3560e+00 +1.0204e+00 -2.7058e+00 +4.8190e-01 +3.1052e-01 -3.1346e+00 -3.2847e+00 -2.7819e+00 -6.8203e-01 -2.4736e-01 -2.0494e+00 +2.4667e-01 -3.5272e+00 -3.3808e+00 -3.8264e+00 +7.7559e-01 +6.4108e-01 +9.5813e-01 -2.1164e+00
3444 +4.342998153e+02 +4.342998153e+02 +5.329198153e+02 +5.329198153e+02 -1.1588e+00 -1.8198e+00 +1.3235e+00 -2.3975e+00 +5.6362e-01 +9.6452e-01 -3.0229e+00 -4.0572e+00 -3.6978e+00 -8.0277e-01 -1.1170e-01 -2.2926e+00 +1.5801e-01 -3.8600e+00 -3.1055e+00 -3.3436e+00 +1.1574e+00 +9.8576e-01 +8.3560e-01 -9.4142e-01
3637 +3.680319569e+02 +3.680319569e+02 +4.666519569e+02 +4.666519569e+02 -1.1518e+00 -1.8931e+00 +1.4898e+00 -2.6899e+00 +2.8896e-01 +5.9723e-01 -2.0299e+00 -4.1246e+00 -3.4624e+00 -6.2012e-01 -7.0275e-02 -2.5967e+00 +5.3829e-01 -3.8844e+00 -2.9827e+00 -3.4611e+00 +1.3843e+00 +1.0262e+00 +1.1723e+00 -4.4919e-01
3857 +2.227849518e+02 +2.227849518e+02 +3.214049518e+02 +3.214049518e+02 -1.4699e+00 -1.9009e+00 +1.4522e+00 -2.5862e+00 +5.0772e-01 +1.1548e+00 -2.7453e+00 -3.8878e+00 -3.9391e+00 -1.2526e+00 +8.0849e-01 -2.3138e+00 +9.0488e-02 -3.5317e+00 -3.0085e+00 -3.0077e+00 +3.1257e-01 +9.0691e-01 +1.0105e+00 -1.0745e+00
4249 +1.526169918e+02 +1.526169918e+02 +2.512369918e+02 +2.512369918e+02 -1.6331e+00 -2.0676e+00 +1.4425e+00 -2.5525e+00 +5.1719e-01 +1.1092e+00 -2.2957e+00 -3.8502e+00 -3.6545e+00 -1.1991e+00 +6.1636e-01 -2.5030e+00 +1.3173e-01 -3.4310e+00 -3.0432e+00 -3.0798e+00 +4.4081e-01 +9.6852e-01 +1.0590e+00 -9.2793e-01
4811 +9.855903752e+01 +9.855903752e+01 +1.971790375e+02 +1.971790375e+02 -1.3144e+00 -2.0072e+00 +1.4052e+00 -2.6094e+00 +5.0920e-01 +1.2202e+00 -2.1379e+00 -3.8515e+00 -3.7610e+00 -1.1566e+00 +8.0967e-01 -2.4767e+00 +1.6427e-01 -3.6121e+00 -3.0322e+00 -2.8507e+00 +9.4183e-01 +9.4480e-01 +1.1455e+00 -4.3948e-01
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.507860681e+05 +8.507860681e+05 +8.507389181e+05 +8.507389181e+05 +4.7458e+00 +2.4385e+00 +1.3847e+00 +1.4145e+00 -2.0832e+00 -7.5422e-01 +1.2820e+00 +4.7486e+00 +6.7726e-01 -3.3990e+00 +1.7278e-01 +3.0006e+00 -3.7451e+00 -3.3425e-01 +3.5305e-01 +3.8950e+00 -5.3748e-01 -4.7185e+00 -3.5887e+00 -3.4236e+00
2 +1.975326880e+05 +1.975326880e+05 +1.974855380e+05 +1.974855380e+05 +2.9893e+00 -3.4054e+00 +3.4700e+00 -1.9052e+00 -3.2890e+00 +4.9122e+00 -3.9144e+00 -1.2564e+00 -1.3718e+00 -5.3006e-01 +4.8857e-01 -1.6487e+00 -9.9959e-01 -2.0033e+00 -1.4834e-01 -2.8153e+00 -1.6494e+00 -1.3463e+00 +2.4308e+00 +4.5608e+00
247 +1.396519548e+05 +1.396519548e+05 +1.396048048e+05 +1.396048048e+05 +2.1481e+00 +9.3017e-01 -3.1557e+00 -1.5507e+00 -8.9414e-01 +1.9590e+00 +2.9141e+00 -3.4873e-02 +1.3216e+00 +1.1214e-01 +2.7587e+00 +5.8800e-01 +2.0499e+00 -4.9835e+00 +2.5020e+00 +1.5579e+00 +2.2430e-01 -3.4940e+00 -1.0081e+00 -4.6453e+00
452 +3.410525256e+04 +3.410525256e+04 +3.405810256e+04 +3.405810256e+04 -2.0315e-01 -1.6955e+00 -3.3073e+00 -8.5206e-01 -6.2263e-02 +3.1600e+00 -3.4957e+00 -7.6890e-01 -4.9174e-01 -5.0000e+00 +9.6888e-01 +0.0000e+00 -1.1053e+00 -3.9104e+00 +1.4973e+00 -4.4785e-01 -1.3263e+00 -1.8361e+00 +9.3314e-01 +3.4915e+00
660 +1.960531329e+04 +1.960531329e+04 +1.955816329e+04 +1.955816329e+04 -2.9146e-01 -3.1160e+00 -4.2125e+00 -1.8062e+00 -1.0759e+00 +1.8372e+00 -2.1076e+00 -6.4536e-01 -5.4627e-01 -4.0339e+00 +1.9341e+00 -2.0025e+00 +0.0000e+00 +4.6312e-01 +3.8275e+00 -7.3082e-01 -2.7977e+00 -4.4392e+00 +5.5346e-01 +2.8587e+00
1075 +1.256835033e+04 +1.256835033e+04 +1.252120033e+04 +1.252120033e+04 -1.0981e+00 -2.4695e+00 -4.2169e+00 -1.2983e+00 -1.6385e+00 +3.2944e+00 -2.9926e+00 -1.8330e+00 -6.2934e-01 -3.5779e+00 +2.0501e+00 -3.6541e+00 -1.4622e-01 -1.6451e+00 +2.1497e+00 -7.5378e-01 -1.9083e+00 -3.7569e+00 +3.9546e-01 +4.1800e+00
1314 +9.511901797e+03 +9.511901797e+03 +9.464751797e+03 +9.464751797e+03 -2.1442e+00 -1.4860e+00 -4.1882e+00 -1.3895e+00 -1.5430e+00 +2.1761e+00 -2.0843e+00 -1.1790e+00 -4.3768e-01 -1.1565e+00 +2.8979e+00 -2.8235e+00 +3.0813e+00 -5.5559e-01 +2.3444e+00 -1.8962e+00 -2.3965e+00 -4.0472e+00 -5.5407e-01 +3.1622e+00
1402 +5.836735102e+03 +5.836735102e+03 +5.789585102e+03 +5.789585102e+03 -2.2945e+00 -2.6474e+00 -3.8553e+00 -1.7674e+00 -1.3364e+00 +1.1838e+00 -2.3080e+00 -2.1415e+00 -1.0843e+00 -2.8595e+00 +3.3618e+00 -3.8182e+00 +3.2823e+00 -1.6603e+00 +2.3919e+00 -2.6856e+00 -3.1782e+00 -4.7848e+00 -1.2196e+00 +2.4493e+00
1841 +3.785756657e+03 +3.785756657e+03 +3.738606657e+03 +3.738606657e+03 -8.3287e-01 -1.2204e+00 -1.9416e+00 -2.7749e+00 +2.9661e-01 +2.3036e+00 -1.3575e+00 -2.0806e+00 -9.6431e-01 -4.2378e+00 +3.1039e+00 -2.3923e+00 +0.0000e+00 -1.2479e+00 +2.1679e+00 -4.6401e-01 -1.7172e+00 -3.4687e+00 -1.2127e+00 +8.8767e-01
2303 +2.327555149e+03 +2.327555149e+03 +2.280405149e+03 +2.280405149e+03 -1.2306e-01 -1.3305e+00 -1.9743e+00 -3.5811e+00 -8.7852e-02 +2.0932e+00 -1.5732e+00 -2.0040e+00 -1.3769e+00 -3.6972e+00 +3.0806e+00 -1.8928e+00 +5.5278e-01 -2.1805e+00 +2.1266e+00 -2.7510e+00 -3.9693e+00 -3.8120e+00 -1.6094e+00 +1.3955e+00
2413 +1.056385310e+03 +1.056385310e+03 +1.009235310e+03 +1.009235310e+03 -1.8403e+00 -1.3408e+00 -2.2639e+00 -3.9643e+00 +4.1693e-01 +1.6537e+00 -1.2862e+00 -2.2071e+00 -2.0225e+00 -3.3749e+00 +2.8804e+00 -1.5685e+00 +1.6079e+00 -2.8942e+00 +1.6992e+00 -1.0602e+00 -2.4621e+00 -4.1272e+00 -1.5945e+00 +3.4482e-01
3010 +7.910699873e+02 +7.910699873e+02 +7.439199873e+02 +7.439199873e+02 -1.4654e+00 -1.3209e+00 -2.5962e+00 -3.9994e+00 +4.7501e-01 +1.3345e+00 -1.4593e+00 -1.9754e+00 -1.8486e+00 -3.1616e+00 +2.2299e+00 -2.1208e+00 +1.5437e+00 -2.6910e+00 +1.9128e+00 -1.0609e+00 -2.0206e+00 -4.1950e+00 -1.9642e+00 +7.7641e-01
3177 +5.824951372e+02 +5.824951372e+02 +5.353451372e+02 +5.353451372e+02 -3.8417e-01 -1.8083e+00 -2.7396e+00 -3.3191e+00 -3.3709e-01 +1.0825e+00 -1.9379e+00 -2.0087e+00 -1.6730e+00 -3.7298e+00 +1.9989e+00 -2.8429e+00 +1.6025e+00 -2.5827e+00 +1.6137e+00 -1.9741e+00 -2.0677e+00 -3.8716e+00 +1.3837e-01 +5.6365e-01
3604 +3.601664043e+02 +3.601664043e+02 +3.130164043e+02 +3.130164043e+02 -5.6542e-01 -1.4419e+00 -2.2095e+00 -3.2325e+00 -6.5275e-01 +1.0156e+00 -1.9688e+00 -2.6845e+00 -1.5702e+00 -3.6465e+00 +1.9502e+00 -2.7136e+00 +1.9235e+00 -3.1580e+00 +2.0811e+00 -1.8665e+00 -2.2933e+00 -4.1009e+00 +4.7799e-02 +7.5333e-01
4004 +2.462722891e+02 +2.462722891e+02 +1.991222891e+02 +1.991222891e+02 -6.2057e-01 -1.2917e+00 -1.8495e+00 -3.2991e+00 -6.4548e-01 +1.1044e+00 -1.9776e+00 -2.8531e+00 -1.8740e+00 -3.2000e+00 +1.9095e+00 -2.8700e+00 +1.4804e+00 -3.0668e+00 +2.2206e+00 -1.9332e+00 -2.3671e+00 -3.6143e+00 +6.4186e-02 +7.2940e-01
